dataset,model,scenario,k_mad,n_runs,n_reference_anomalies,threshold,n_detected_mean,n_detected_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,Specificity_mean,FalsePositiveRate_mean,BalancedAccuracy_mean,metric_status,baseline_F1_mean,baseline_FalsePositiveRate_mean,F1_change_vs_baseline,FalsePositiveRate_change_vs_baseline
ilinet,ARIMA,injected_10pct,2.0,1,5,0.2281443036603564,21.0,,0.23809523809523808,,1.0,,0.38461538461538464,,0.6595744680851063,0.3404255319148936,0.8297872340425532,applicable,0.43478260869565216,0.2765957446808511,-0.050167224080267525,0.06382978723404253
ilinet,ARIMA,injected_10pct,2.5,1,5,0.2665044540835641,18.0,,0.2777777777777778,,1.0,,0.43478260869565216,,0.723404255319149,0.2765957446808511,0.8617021276595744,applicable,0.43478260869565216,0.2765957446808511,0.0,0.0
ilinet,ARIMA,injected_10pct,3.0,1,5,0.30486460450677183,18.0,,0.2777777777777778,,1.0,,0.43478260869565216,,0.723404255319149,0.2765957446808511,0.8617021276595744,applicable,0.43478260869565216,0.2765957446808511,0.0,0.0
ilinet,ARIMA,injected_10pct,3.5,1,5,0.3432247549299795,18.0,,0.2777777777777778,,1.0,,0.43478260869565216,,0.723404255319149,0.2765957446808511,0.8617021276595744,applicable,0.43478260869565216,0.2765957446808511,0.0,0.0
ilinet,ARIMA,injected_10pct,4.0,1,5,0.38158490535318723,17.0,,0.29411764705882354,,1.0,,0.45454545454545453,,0.7446808510638298,0.2553191489361702,0.8723404255319149,applicable,0.43478260869565216,0.2765957446808511,0.01976284584980237,-0.021276595744680882
ilinet,ARIMA,injected_10pct,4.5,1,5,0.41994505577639496,16.0,,0.3125,,1.0,,0.47619047619047616,,0.7659574468085106,0.23404255319148937,0.8829787234042553,applicable,0.43478260869565216,0.2765957446808511,0.041407867494824,-0.04255319148936171
ilinet,ARIMA,injected_10pct,5.0,1,5,0.4583052061996026,16.0,,0.3125,,1.0,,0.47619047619047616,,0.7659574468085106,0.23404255319148937,0.8829787234042553,applicable,0.43478260869565216,0.2765957446808511,0.041407867494824,-0.04255319148936171
ilinet,ARIMA,injected_5pct,2.0,1,3,0.2281443036603564,24.0,,0.125,,1.0,,0.2222222222222222,,0.5714285714285714,0.42857142857142855,0.7857142857142857,applicable,0.2727272727272727,0.32653061224489793,-0.0505050505050505,0.10204081632653061
ilinet,ARIMA,injected_5pct,2.5,1,3,0.2665044540835641,22.0,,0.13636363636363635,,1.0,,0.24,,0.6122448979591837,0.3877551020408163,0.8061224489795918,applicable,0.2727272727272727,0.32653061224489793,-0.032727272727272716,0.06122448979591838
ilinet,ARIMA,injected_5pct,3.0,1,3,0.30486460450677183,20.0,,0.15,,1.0,,0.2608695652173913,,0.6530612244897959,0.3469387755102041,0.8265306122448979,applicable,0.2727272727272727,0.32653061224489793,-0.01185770750988141,0.020408163265306145
