dataset,model,k_mad,n_runs,macro_F1_mean,macro_F1_std,macro_Precision_mean,macro_Recall_mean,macro_FalsePositiveRate_mean,baseline_macro_F1_mean,baseline_macro_FalsePositiveRate_mean,macro_F1_change_vs_baseline,macro_FalsePositiveRate_change_vs_baseline
cholera,XGBoost,5.0,10,0.2523819670082511,0.027520366039605813,0.15928028375216932,0.7,0.2485526315789474,0.21285498775266953,0.36082236842105264,0.039526979255581574,-0.11226973684210526
electricity,ARIMA,2.0,1,0.5166666666666666,,0.3484848484848485,1.0,0.14210526315789473,0.6666666666666666,0.07763157894736841,-0.15000000000000002,0.06447368421052632
electricity,ARIMA,2.5,1,0.5714285714285714,,0.4,1.0,0.11644736842105263,0.6666666666666666,0.07763157894736841,-0.09523809523809523,0.03881578947368422
electricity,ARIMA,3.0,1,0.6666666666666666,,0.5,1.0,0.07763157894736841,0.6666666666666666,0.07763157894736841,0.0,0.0
electricity,ARIMA,3.5,1,0.6666666666666666,,0.5,1.0,0.07763157894736841,0.6666666666666666,0.07763157894736841,0.0,0.0
electricity,ARIMA,4.0,1,0.7333333333333334,,0.5833333333333333,1.0,0.06513157894736842,0.6666666666666666,0.07763157894736841,0.06666666666666676,-0.012499999999999997
electricity,ARIMA,4.5,1,0.7333333333333334,,0.5833333333333333,1.0,0.06513157894736842,0.6666666666666666,0.07763157894736841,0.06666666666666676,-0.012499999999999997
electricity,ARIMA,5.0,1,0.7333333333333334,,0.5833333333333333,1.0,0.06513157894736842,0.6666666666666666,0.07763157894736841,0.06666666666666676,-0.012499999999999997
electricity,LSTM,2.0,10,0.3677299480705053,0.019523063881009176,0.22726947888712595,1.0,0.2558552631578947,0.7357575757575757,0.0569078947368421,-0.3680276276870704,0.1989473684210526
electricity,LSTM,2.5,10,0.49875601522660346,0.04040792859305968,0.33467254967254967,1.0,0.15210526315789472,0.7357575757575757,0.0569078947368421,-0.23700156053097227,0.09519736842105261
electricity,LSTM,3.0,10,0.6356210456210456,0.044902739777947426,0.46992063492063496,1.0,0.08907894736842105,0.7357575757575757,0.0569078947368421,-0.10013653013653012,0.03217105263157895
electricity,LSTM,3.5,10,0.7357575757575757,0.053464790546497026,0.5857142857142856,1.0,0.0569078947368421,0.7357575757575757,0.0569078947368421,0.0,0.0
electricity,LSTM,4.0,10,0.7913131313131314,0.04276014739841972,0.6573809523809524,1.0,0.04138157894736842,0.7357575757575757,0.0569078947368421,0.05555555555555569,-0.01552631578947368
electricity,LSTM,4.5,10,0.8585858585858587,0.07949551279931963,0.761904761904762,1.0,0.025789473684210522,0.7357575757575757,0.0569078947368421,0.12282828282828295,-0.03111842105263158
electricity,LSTM,5.0,10,0.9177777777777777,0.08767692283807588,0.86,1.0,0.014144736842105262,0.7357575757575757,0.0569078947368421,0.18202020202020197,-0.042763157894736836
electricity,NFGA-Core,2.0,10,0.3080629957599139,0.036543436724498446,0.1832642687425296,1.0,0.3665131578947368,0.4345510567863509,0.2218421052631579,-0.126488061026437,0.14467105263157892
