dataset,model,seed,scenario,n_eval,training_time_sec,mean_inference_latency_sec,model_size_bytes,n_parameters,threshold,architecture,batch_size,learning_rate,selected_epochs,RMSE,MAE,sMAPE,R2,R2_manual,n_reference_anomalies,n_detected,Precision,Recall,F1,metric_status
ilinet,LSTM,99,forecast_original,52,2.294292571999904,0.01045689828837427,19588,4897,0.8498749342270195,small,16,0.001,12,0.7149877678311071,0.4116807836825772,12.550748800766186,0.8617252410764196,0.8617252410764196,0,7,,,,forecast_only
ilinet,LSTM,99,injected_5pct,52,2.294292571999904,0.011315104173106123,19588,4897,0.8498749342270195,small,16,0.001,12,,,,,,3,11,0.2727272727272727,1.0,0.42857142857142855,applicable
ilinet,LSTM,99,injected_10pct,52,2.294292571999904,0.010465690346126603,19588,4897,0.8498749342270195,small,16,0.001,12,,,,,,5,9,0.3333333333333333,0.6,0.42857142857142855,applicable
ilinet,LSTM,99,proxy_robust_z,52,2.294292571999904,0.01303435996151865,19588,4897,0.8498749342270195,small,16,0.001,12,,,,,,11,7,1.0,0.6363636363636364,0.7777777777777778,applicable
ilinet,LSTM,110,forecast_original,52,3.236060862999693,0.009768043903844816,19588,4897,0.8498749342270195,small,16,0.001,12,0.7349994887313847,0.4345398130591071,13.755472259916813,0.8538766028932526,0.8538766028932526,0,7,,,,forecast_only
ilinet,LSTM,110,injected_5pct,52,3.236060862999693,0.010094630711504439,19588,4897,0.8498749342270195,small,16,0.001,12,,,,,,3,10,0.3,1.0,0.46153846153846156,applicable
ilinet,LSTM,110,injected_10pct,52,3.236060862999693,0.009424124942265385,19588,4897,0.8498749342270195,small,16,0.001,12,,,,,,5,9,0.3333333333333333,0.6,0.42857142857142855,applicable
ilinet,LSTM,110,proxy_robust_z,52,3.236060862999693,0.010472400096117641,19588,4897,0.8498749342270195,small,16,0.001,12,,,,,,11,7,1.0,0.6363636363636364,0.7777777777777778,applicable
electricity,LSTM,11,forecast_original,42,7.34092171500015,0.010072500261880382,19588,4897,0.3373933903351426,small,16,0.001,38,0.13815825122065475,0.10628287407204288,11.47351489705191,0.6468234786792622,0.6468234786792622,0,1,,,,forecast_only
electricity,LSTM,11,injected_5pct,42,7.34092171500015,0.01041110199999128,19588,4897,0.3373933903351426,small,16,0.001,38,,,,,,2,4,0.5,1.0,0.6666666666666666,applicable
electricity,LSTM,11,injected_10pct,42,7.34092171500015,0.010525491761914705,19588,4897,0.3373933903351426,small,16,0.001,38,,,,,,4,8,0.5,1.0,0.6666666666666666,applicable
electricity,LSTM,11,proxy_robust_z,42,7.34092171500015,0.009878355000074364,19588,4897,0.3373933903351426,small,16,0.001,38,,,,,,0,1,,,,not_applicable_no_positive_reference
electricity,LSTM,22,forecast_original,42,4.322970746999999,0.009703605928583178,19588,4897,0.3373933903351426,small,16,0.001,38,0.1353607673094962,0.10370601282878868,11.159585922634273,0.6609811979546929,0.6609811979546929,0,1,,,,forecast_only
electricity,LSTM,22,injected_5pct,42,4.322970746999999,0.009897711928585653,19588,4897,0.3373933903351426,small,16,0.001,38,,,,,,2,4,0.5,1.0,0.6666666666666666,applicable
electricity,LSTM,22,injected_10pct,42,4.322970746999999,0.010263197857187021,19588,4897,0.3373933903351426,small,16,0.001,38,,,,,,4,7,0.5714285714285714,1.0,0.7272727272727273,applicable
electricity,LSTM,22,proxy_robust_z,42,4.322970746999999,0.009641950809487926,19588,4897,0.3373933903351426,small,16,0.001,38,,,,,,0,1,,,,not_applicable_no_positive_reference
electricity,LSTM,33,forecast_original,42,5.658983364000051,0.009538949000064653,19588,4897,0.3373933903351426,small,16,0.001,38,0.1316365315217275,0.10407334160198496,11.33610433679478,0.6793796890369632,0.6793796890369632,0,1,,,,forecast_only
electricity,LSTM,33,injected_5pct,42,5.658983364000051,0.009713556333302958,19588,4897,0.3373933903351426,small,16,0.001,38,,,,,,2,4,0.5,1.0,0.6666666666666666,applicable
electricity,LSTM,33,injected_10pct,42,5.658983364000051,0.009631380523777417,19588,4897,0.3373933903351426,small,16,0.001,38,,,,,,4,6,0.6666666666666666,1.0,0.8,applicable
electricity,LSTM,33,proxy_robust_z,42,5.658983364000051,0.010028185023851879,19588,4897,0.3373933903351426,small,16,0.001,38,,,,,,0,1,,,,not_applicable_no_positive_reference
electricity,LSTM,44,forecast_original,42,4.184801020000123,0.009970610285801654,19588,4897,0.3373933903351426,small,16,0.001,38,0.1331238829461289,0.10484401148224169,11.182768015467422,0.6720934264964642,0.6720934264964642,0,1,,,,forecast_only
