dataset,detector,detector_category,stochastic,seed,scenario,window_size,n_fit_windows,n_validation_windows,validation_target_fpr,score_threshold,training_time_sec,inference_latency_sec,model_size_bytes,TP,FP,TN,FN,n_reference_anomalies,n_detected,Precision,Recall,F1,Specificity,FalsePositiveRate,BalancedAccuracy,metric_status
electricity,IsolationForest,independent_window_detector,True,44,injected_10pct,16,120,30,0.05,-0.03338443832280569,1.30826720999994,0.001445189595242049,1984284,3,27,11,1,4,30,0.1,0.75,0.17647058823529413,0.2894736842105263,0.7105263157894737,0.5197368421052632,applicable
electricity,IsolationForest,independent_window_detector,True,44,proxy_robust_z,16,120,30,0.05,-0.03338443832280569,1.30826720999994,0.0017962202380961874,1984284,0,1,41,0,0,1,,,,0.9761904761904762,0.023809523809523808,,not_applicable_no_positive_reference
electricity,IsolationForest,independent_window_detector,True,55,injected_5pct,16,120,30,0.05,-0.03545845429587774,1.1827021620001688,0.0015623361190418585,2017900,0,14,26,2,2,14,0.0,0.0,0.0,0.65,0.35,0.325,applicable
electricity,IsolationForest,independent_window_detector,True,55,injected_10pct,16,120,30,0.05,-0.03545845429587774,1.1827021620001688,0.0012996532619105156,2017900,3,29,9,1,4,32,0.09375,0.75,0.16666666666666666,0.23684210526315788,0.7631578947368421,0.4934210526315789,applicable
electricity,IsolationForest,independent_window_detector,True,55,proxy_robust_z,16,120,30,0.05,-0.03545845429587774,1.1827021620001688,0.0015221356666621606,2017900,0,2,40,0,0,2,,,,0.9523809523809523,0.047619047619047616,,not_applicable_no_positive_reference
electricity,IsolationForest,independent_window_detector,True,66,injected_5pct,16,120,30,0.05,-0.03695551658875107,1.181568306000372,0.0019384375952237558,2001884,0,13,27,2,2,13,0.0,0.0,0.0,0.675,0.325,0.3375,applicable
electricity,IsolationForest,independent_window_detector,True,66,injected_10pct,16,120,30,0.05,-0.03695551658875107,1.181568306000372,0.002370918190492722,2001884,3,26,12,1,4,29,0.10344827586206896,0.75,0.18181818181818182,0.3157894736842105,0.6842105263157895,0.5328947368421053,applicable
electricity,IsolationForest,independent_window_detector,True,66,proxy_robust_z,16,120,30,0.05,-0.03695551658875107,1.181568306000372,0.0033041924047687472,2001884,0,2,40,0,0,2,,,,0.9523809523809523,0.047619047619047616,,not_applicable_no_positive_reference
electricity,IsolationForest,independent_window_detector,True,77,injected_5pct,16,120,30,0.05,-0.02952366857474259,1.5265443890002643,0.00044717738096334783,1989036,0,11,29,2,2,11,0.0,0.0,0.0,0.725,0.275,0.3625,applicable
electricity,IsolationForest,independent_window_detector,True,77,injected_10pct,16,120,30,0.05,-0.02952366857474259,1.5265443890002643,0.0004530467142883156,1989036,3,25,13,1,4,28,0.10714285714285714,0.75,0.1875,0.34210526315789475,0.6578947368421053,0.5460526315789473,applicable
electricity,IsolationForest,independent_window_detector,True,77,proxy_robust_z,16,120,30,0.05,-0.02952366857474259,1.5265443890002643,0.0005067753095318039,1989036,0,1,41,0,0,1,,,,0.9761904761904762,0.023809523809523808,,not_applicable_no_positive_reference
electricity,IsolationForest,independent_window_detector,True,88,injected_5pct,16,120,30,0.05,-0.02941653816548062,0.5533498959994176,0.00044461973807518094,2042725,0,12,28,2,2,12,0.0,0.0,0.0,0.7,0.3,0.35,applicable
electricity,IsolationForest,independent_window_detector,True,88,injected_10pct,16,120,30,0.05,-0.02941653816548062,0.5533498959994176,0.00044579354761524535,2042725,3,24,14,1,4,27,0.1111111111111111,0.75,0.1935483870967742,0.3684210526315789,0.631578947368421,0.5592105263157895,applicable
electricity,IsolationForest,independent_window_detector,True,88,proxy_robust_z,16,120,30,0.05,-0.02941653816548062,0.5533498959994176,0.000615535547629926,2042725,0,0,42,0,0,0,,,,1.0,0.0,,not_applicable_no_positive_reference
electricity,IsolationForest,independent_window_detector,True,99,injected_5pct,16,120,30,0.05,-0.0277306113620982,0.5395818910001253,0.00041957026191344733,2032869,0,13,27,2,2,13,0.0,0.0,0.0,0.675,0.325,0.3375,applicable
electricity,IsolationForest,independent_window_detector,True,99,injected_10pct,16,120,30,0.05,-0.0277306113620982,0.5395818910001253,0.00042939004762437046,2032869,3,23,15,1,4,26,0.11538461538461539,0.75,0.2,0.39473684210526316,0.6052631578947368,0.5723684210526316,applicable
electricity,IsolationForest,independent_window_detector,True,99,proxy_robust_z,16,120,30,0.05,-0.0277306113620982,0.5395818910001253,0.00041607102381628164,2032869,0,2,40,0,0,2,,,,0.9523809523809523,0.047619047619047616,,not_applicable_no_positive_reference
