dataset,model,model_type,seed,scenario,n_eval,K,training_time_sec,mean_inference_latency_sec,model_size_bytes,generations_ran,final_objective,threshold,mean_max_membership,mean_membership,RMSE,MAE,sMAPE,R2,R2_manual,n_reference_anomalies,n_detected,Precision,Recall,F1,metric_status
cholera,NFGA-LINEAR,linear,110,forecast_original,84,2,0.27269376599997486,7.27942737869723e-05,1696,11,0.13296438161554486,419.8436433184498,0.6859291503367182,0.4999999999996562,126.08425869848531,107.78017297331701,46.798516398806974,0.9176733641590866,0.9176733641590866,0,0,,,,forecast_only
cholera,NFGA-LINEAR,linear,110,injected_5pct,84,2,0.27269376599997486,6.813304764277528e-05,1696,11,0.13296438161554486,419.8436433184498,0.6976676877071212,0.499999999999646,,,,,,4,8,0.5,1.0,0.6666666666666666,applicable
cholera,NFGA-LINEAR,linear,110,injected_10pct,84,2,0.27269376599997486,7.10951309472529e-05,1696,11,0.13296438161554486,419.8436433184498,0.696381489324043,0.499999999999648,,,,,,8,7,0.5714285714285714,0.5,0.5333333333333333,applicable
cholera,NFGA-LINEAR,linear,110,proxy_robust_z,84,2,0.27269376599997486,7.11139166685912e-05,1696,11,0.13296438161554486,419.8436433184498,0.6859291503367182,0.4999999999996562,,,,,,0,0,,,,not_applicable_no_positive_reference
ilinet,NFGA-Core,core,11,forecast_original,52,8,0.8593386400007148,7.107776925225223e-05,1664,40,0.4192621429179586,2.0323563160029625,0.4444511902159726,0.12499999999960208,0.7552647483289275,0.5246408999388075,16.728500952487472,0.8457077488352889,0.8457077488352889,0,2,,,,forecast_only
ilinet,NFGA-Core,core,11,injected_5pct,52,8,0.8593386400007148,6.867913461624434e-05,1664,40,0.4192621429179586,2.0323563160029625,0.444869462424449,0.12499999999957337,,,,,,3,4,0.5,0.6666666666666666,0.5714285714285714,applicable
ilinet,NFGA-Core,core,11,injected_10pct,52,8,0.8593386400007148,6.139398069885479e-05,1664,40,0.4192621429179586,2.0323563160029625,0.4147974890644865,0.12499999999970024,,,,,,5,6,0.3333333333333333,0.4,0.36363636363636365,applicable
ilinet,NFGA-Core,core,11,proxy_robust_z,52,8,0.8593386400007148,6.203505766349666e-05,1664,40,0.4192621429179586,2.0323563160029625,0.4444511902159726,0.12499999999960208,,,,,,11,2,1.0,0.18181818181818182,0.3076923076923077,applicable
ilinet,NFGA-Core,core,22,forecast_original,52,5,0.9695151320001969,0.00012092805764041259,1040,40,0.5174004113556675,2.0323563160029625,0.7157100571613259,0.19999999999971757,0.8294844581213027,0.5873044242731429,21.68008209812264,0.8138932210794066,0.8138932210794066,0,3,,,,forecast_only
ilinet,NFGA-Core,core,22,injected_5pct,52,5,0.9695151320001969,9.36667884511385e-05,1040,40,0.5174004113556675,2.0323563160029625,0.7522786247871001,0.19999999999968368,,,,,,3,4,0.25,0.3333333333333333,0.2857142857142857,applicable
