dataset,config_id,factor,level,seed,window_size,K_min,K_max,population_size,maximum_generations,crossover_probability,center_mutation_probability,sigma_mutation_probability,consequent_mutation_probability,lambda_rules,lambda_weights,K_selected,generations_ran,training_time_sec,inference_latency_sec,model_size_bytes,RMSE,MAE,sMAPE,R2,R2_manual
cholera,lambda_rules__0.02,lambda_rules,0.02,88,52,2,8,25,40,0.9,0.25,0.25,0.3,0.02,1e-06,2,40,0.9306985410003108,5.935478571657205e-05,1696,118.37949821180982,97.67902398748505,42.990181156513415,0.9274275775985102,0.9274275775985102
cholera,lambda_rules__0.02,lambda_rules,0.02,99,52,2,8,25,40,0.9,0.25,0.25,0.3,0.02,1e-06,2,37,0.8912027679998573,6.872855947005432e-05,1696,116.30980529689052,95.64589987424482,43.03680946438898,0.929943040051709,0.929943040051709
cholera,lambda_rules__0.02,lambda_rules,0.02,110,52,2,8,25,40,0.9,0.25,0.25,0.3,0.02,1e-06,2,25,0.5946723639999618,6.205135714697549e-05,1696,130.37784133880595,112.95897022095224,48.423014262112005,0.9119709119965167,0.9119709119965167
cholera,mutation_probability__low_0.15,mutation_probability,low_0.15,11,52,2,8,25,40,0.9,0.15,0.15,0.15,0.005,1e-06,2,24,0.5822420949998559,6.609178580046795e-05,1696,96.76125685295575,55.86286936734454,19.75102132268541,0.9515134111038109,0.9515134111038109
cholera,mutation_probability__low_0.15,mutation_probability,low_0.15,22,52,2,8,25,40,0.9,0.15,0.15,0.15,0.005,1e-06,2,18,0.44296540999948775,5.945547618899755e-05,1696,95.23725387626686,55.73945647767745,19.036208655823046,0.9530287239516462,0.9530287239516462
cholera,mutation_probability__low_0.15,mutation_probability,low_0.15,33,52,2,8,25,40,0.9,0.15,0.15,0.15,0.005,1e-06,3,35,0.9047122250003667,6.499471434532704e-05,2544,121.9891348683204,91.57947522831309,90.0747291595731,0.9229343345379248,0.9229343345379248
cholera,mutation_probability__low_0.15,mutation_probability,low_0.15,44,52,2,8,25,40,0.9,0.15,0.15,0.15,0.005,1e-06,3,40,1.0159648440003366,6.21794286503462e-05,2544,103.00356493300536,65.78143835570722,40.004971464036906,0.9450556371177895,0.9450556371177895
cholera,mutation_probability__low_0.15,mutation_probability,low_0.15,55,52,2,8,25,40,0.9,0.15,0.15,0.15,0.005,1e-06,2,40,1.1865867599999547,0.0001002092737962812,1696,103.34204332052751,75.27140937363626,33.35731741636436,0.9446939402036008,0.9446939402036008
cholera,mutation_probability__low_0.15,mutation_probability,low_0.15,66,52,2,8,25,40,0.9,0.15,0.15,0.15,0.005,1e-06,2,20,0.6615105840000979,9.920860717708517e-05,1696,192.1865019092908,180.8047733392025,64.31762188056742,0.8087222765619104,0.8087222765619104
cholera,mutation_probability__low_0.15,mutation_probability,low_0.15,77,52,2,8,25,40,0.9,0.15,0.15,0.15,0.005,1e-06,3,23,0.7990758469995853,0.00010455548805934778,2544,148.97878340011636,133.12561383479056,52.29980433287369,0.885060983425566,0.885060983425566
