dataset,model,seed,scenario,n_eval,training_time_sec,mean_inference_latency_sec,model_size_bytes,threshold,n_estimators,max_depth,learning_rate,RMSE,MAE,sMAPE,R2,R2_manual,n_reference_anomalies,n_detected,Precision,Recall,F1,metric_status
electricity,XGBoost,66,forecast_original,42,0.12695356100039135,0.00046637452381522354,304075,0.2642871716632531,200,4,0.03,0.12965369665994925,0.1047062105611066,11.907175124387665,0.6889659199028966,0.6889659199028966,0,2,,,,forecast_only
electricity,XGBoost,66,injected_5pct,42,0.12695356100039135,0.0005010246429070061,304075,0.2642871716632531,200,4,0.03,,,,,,2,5,0.4,1.0,0.5714285714285714,applicable
electricity,XGBoost,66,injected_10pct,42,0.12695356100039135,0.00046233947618713414,304075,0.2642871716632531,200,4,0.03,,,,,,4,7,0.5714285714285714,1.0,0.7272727272727273,applicable
electricity,XGBoost,66,proxy_robust_z,42,0.12695356100039135,0.00046661704761520795,304075,0.2642871716632531,200,4,0.03,,,,,,0,2,,,,not_applicable_no_positive_reference
electricity,XGBoost,77,forecast_original,42,0.127214885000285,0.00048751864286108076,304415,0.2642871716632531,200,4,0.03,0.12797973590003922,0.10208394088827177,11.460805483001709,0.6969456033434713,0.6969456033434713,0,2,,,,forecast_only
electricity,XGBoost,77,injected_5pct,42,0.127214885000285,0.000516719904745904,304415,0.2642871716632531,200,4,0.03,,,,,,2,5,0.4,1.0,0.5714285714285714,applicable
electricity,XGBoost,77,injected_10pct,42,0.127214885000285,0.0004777167381191594,304415,0.2642871716632531,200,4,0.03,,,,,,4,7,0.5714285714285714,1.0,0.7272727272727273,applicable
electricity,XGBoost,77,proxy_robust_z,42,0.127214885000285,0.00048057447617923444,304415,0.2642871716632531,200,4,0.03,,,,,,0,2,,,,not_applicable_no_positive_reference
electricity,XGBoost,88,forecast_original,42,0.16084369700001844,0.0006139301190593134,305979,0.2642871716632531,200,4,0.03,0.12795724015311996,0.10364722603556768,11.64343888829747,0.6970521332685692,0.6970521332685692,0,2,,,,forecast_only
electricity,XGBoost,88,injected_5pct,42,0.16084369700001844,0.00048368640479912715,305979,0.2642871716632531,200,4,0.03,,,,,,2,4,0.5,1.0,0.6666666666666666,applicable
electricity,XGBoost,88,injected_10pct,42,0.16084369700001844,0.0005382610476685624,305979,0.2642871716632531,200,4,0.03,,,,,,4,7,0.5714285714285714,1.0,0.7272727272727273,applicable
electricity,XGBoost,88,proxy_robust_z,42,0.16084369700001844,0.0005021845238063959,305979,0.2642871716632531,200,4,0.03,,,,,,0,2,,,,not_applicable_no_positive_reference
electricity,XGBoost,99,forecast_original,42,0.12527898200005438,0.00047557842856890816,303191,0.2642871716632531,200,4,0.03,0.13088856060371024,0.10394908626421055,11.502342907104957,0.683012925814402,0.683012925814402,0,2,,,,forecast_only
electricity,XGBoost,99,injected_5pct,42,0.12527898200005438,0.0006203969762303867,303191,0.2642871716632531,200,4,0.03,,,,,,2,4,0.5,1.0,0.6666666666666666,applicable
electricity,XGBoost,99,injected_10pct,42,0.12527898200005438,0.0004899902619399654,303191,0.2642871716632531,200,4,0.03,,,,,,4,7,0.5714285714285714,1.0,0.7272727272727273,applicable
electricity,XGBoost,99,proxy_robust_z,42,0.12527898200005438,0.00048219466663925104,303191,0.2642871716632531,200,4,0.03,,,,,,0,2,,,,not_applicable_no_positive_reference
electricity,XGBoost,110,forecast_original,42,0.1314821729997675,0.0004940125952760441,303259,0.2642871716632531,200,4,0.03,0.1295678842559845,0.10736283151284824,12.073183854215214,0.6893775047650461,0.6893775047650461,0,2,,,,forecast_only
electricity,XGBoost,110,injected_5pct,42,0.1314821729997675,0.0005045515952349975,303259,0.2642871716632531,200,4,0.03,,,,,,2,5,0.4,1.0,0.5714285714285714,applicable
electricity,XGBoost,110,injected_10pct,42,0.1314821729997675,0.00046253038091154374,303259,0.2642871716632531,200,4,0.03,,,,,,4,7,0.5714285714285714,1.0,0.7272727272727273,applicable
electricity,XGBoost,110,proxy_robust_z,42,0.1314821729997675,0.0004837809762020264,303259,0.2642871716632531,200,4,0.03,,,,,,0,2,,,,not_applicable_no_positive_reference
